,links,names,ratings,price for one,crusine
40,https://www.zomato.com/bangalore/rolls-kitchen-shanti-nagar/order,Rolls Kitchen,4.3,₹150 for one,"Rolls, Fast Food, Beverages"
41,https://www.zomato.com/bangalore/faasos-shanti-nagar-bangalore/order,Faasos,4.1,₹150 for one,"Fast Food, North Indian, Rolls, Wraps"
42,https://www.zomato.com/bangalore/rs-shiv-sagar-commercial-street/order,RS Shiv Sagar,4.0,₹150 for one,"South Indian, North Indian, Chinese, Fast Food, Mexican, Beverages, Ice Cream"
43,https://www.zomato.com/bangalore/rolls-on-wheels-cunningham-road/order,Rolls On Wheels,4.0,₹150 for one,Rolls
44,https://www.zomato.com/bangalore/taco-bell-brigade-road-bangalore/order,Taco Bell,3.9,₹150 for one,"Mexican, Fast Food, Wraps, Beverages"
45,https://www.zomato.com/bangalore/nandos-indiranagar/order,Nando's,4.2,₹150 for one,"Portuguese, Roast Chicken, Burger, Wraps, Salad"
46,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore/order,Ambur Star Briyani Since 1890,4.2,₹150 for one,"North Indian, Chinese, Biryani"
47,https://www.zomato.com/bangalore/call-me-chow-koramangala-8th-block-bangalore/order,Call Me Chow,4.2,₹150 for one,"Chinese, Japanese, Thai, Indonesian, Asian"
48,https://www.zomato.com/bangalore/andhra-gunpowder-brigade-road-bangalore/order,Andhra Gunpowder,4.1,₹200 for one,"Andhra, Biryani"
49,https://www.zomato.com/bangalore/onesta-koramangala-5th-block-bangalore/order,Onesta,3.3,₹200 for one,"Pizza, Pasta, Fast Food, Desserts, Beverages"
50,https://www.zomato.com/ChurchStreetSocial/order,Church Street Social,4.1,₹200 for one,"North Indian, Chinese, Burger, Momos, Desserts, Continental, Beverages"
51,https://www.zomato.com/bangalore/marwadi-chaat-tiffin-services-shanti-nagar-bangalore/order,Marwadi Chaat & Tiffin Services,3.9,₹200 for one,"North Indian, Street Food, Chinese, Beverages"
52,https://www.zomato.com/bangalore/thali-99-koramangala-5th-block-bangalore/order,Thali 99,3.7,₹200 for one,"North Indian, Mughlai"
53,https://www.zomato.com/bangalore/ovenstory-pizza-1-shanti-nagar-bangalore/order,Ovenstory Pizza,4.1,₹200 for one,Pizza
54,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order,Behrouz biryani,4.0,₹200 for one,"Biryani, North Indian, Mughlai"
55,https://www.zomato.com/bangalore/bowlsome-koramangala-8th-block-bangalore/order,BowlSome,4.0,₹200 for one,North Indian
56,https://www.zomato.com/bangalore/toscano-lavelle-road/order,Toscano,4.0,₹200 for one,"Italian, Continental, Healthy Food, European, Pizza, Salad, Desserts, Beverages"
57,https://www.zomato.com/bangalore/chikpet-donne-biriyani-house-seshadripuram-bangalore/order,Chikpet Donne Biriyani House,4.0,₹200 for one,"South Indian, Biryani"
58,https://www.zomato.com/bangalore/juice-junction-st-marks-road/order,Juice Junction,4.4,₹200 for one,"Juices, Beverages, Sandwich, Fast Food"
